fixed acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality,is_red,so2_ratio,volatile_acidity_ratio
7.6,0.31,2.3,0.082,71.0,0.9982,3.52,0.65,9.7,5,1,0.323943661971831,0.05131578947368422
7.9,0.21,1.6,0.10550000000000001,37.0,0.9966,3.17,0.855,9.5,5,1,0.2702702702702703,0.05443037974683544
8.5,0.11,2.3,0.084,67.0,0.9968,3.17,0.53,9.4,5,1,0.13432835820895522,0.05764705882352941
6.9,0.14,2.4,0.085,40.0,0.9968,3.43,0.63,9.7,6,1,0.525,0.057971014492753624
6.3,0.16,1.4,0.08,23.0,0.9955,3.34,0.56,9.3,5,1,0.4782608695652174,0.06190476190476191
7.6,0.24,1.8,0.08,11.0,0.9962,3.28,0.59,9.5,5,1,0.36363636363636365,0.05394736842105263
7.9,0.21,1.6,0.10550000000000001,37.0,0.9966,3.17,0.855,9.5,5,1,0.2702702702702703,0.05443037974683544
7.1,0.03999999999999998,1.9,0.08,35.0,0.9972,3.47,0.55,9.4,5,1,0.4,0.09225352112676057
7.8,0.03999999999999998,2.0,0.082,16.0,0.9964,3.38,0.59,9.8,6,1,0.5,0.08269230769230769
6.7,0.07,2.4,0.089,82.0,0.9958,3.35,0.54,10.1,5,1,0.2073170731707317,0.09776119402985074
6.9,0.03999999999999998,2.5,0.105,37.0,0.9966,3.46,0.57,10.6,6,1,0.5945945945945946,0.09492753623188406
8.3,0.12,2.3,0.083,113.0,0.9966,3.17,0.66,9.8,5,1,0.13274336283185842,0.0789156626506024
6.9,0.12,10.7,0.073,83.0,0.9993,3.45,0.52,9.4,6,1,0.4819277108433735,0.08768115942028985
5.2,0.25,1.8,0.103,50.0,0.9957,3.38,0.55,9.2,5,1,0.26,0.061538461538461535
7.8,0.03999999999999998,5.5,0.086,18.0,0.9986,3.4,0.55,9.6,6,1,0.2777777777777778,0.08269230769230769
7.8,0.14,2.4,0.086,15.0,0.9975,3.42,0.6,10.8,6,1,0.2,0.07692307692307693
8.1,0.28,2.1,0.066,30.0,0.9968,3.23,0.73,9.7,7,1,0.43333333333333335,0.04691358024691358
5.7,0.09,1.5,0.10550000000000001,19.0,0.994,3.5,0.48,9.8,4,1,0.3684210526315789,0.11491228070175438
7.3,0.36,5.9,0.074,87.0,0.9978,3.33,0.83,10.5,5,1,0.13793103448275862,0.06164383561643836
7.3,0.36,5.9,0.074,87.0,0.9978,3.33,0.83,10.5,5,1,0.13793103448275862,0.06164383561643836
8.8,0.3,2.8,0.088,46.0,0.9976,3.26,0.51,9.3,4,1,0.3695652173913043,0.0693181818181818
7.5,0.2,2.6,0.10550000000000001,14.0,0.9968,3.21,0.855,10.5,6,1,0.5714285714285714,0.06533333333333333
8.1,0.22,2.2,0.069,23.0,0.9968,3.3,0.855,10.3,5,1,0.391304347826087,0.0808641975308642
6.8,0.03999999999999998,1.8,0.05,11.0,0.9962,3.48,0.52,9.5,5,1,0.45454545454545453,0.09632352941176471
4.6,0.15,2.1,0.054,65.0,0.9934,3.635,0.56,13.1,4,1,0.12307692307692308,0.11304347826086958
7.7,0.43,2.2,0.10550000000000001,114.0,0.997,3.25,0.73,9.2,5,1,0.19298245614035087,0.08506493506493507
8.7,0.52,1.6,0.10550000000000001,37.0,0.9969,3.25,0.58,9.5,5,1,0.32432432432432434,0.03333333333333333
6.4,0.23,1.6,0.066,12.0,0.9958,3.34,0.56,9.2,5,1,0.4166666666666667,0.0625
5.6,0.37,1.4,0.074,96.0,0.9954,3.32,0.58,9.2,5,1,0.125,0.05535714285714286
8.8,0.26,1.7,0.074,23.0,0.9971,3.15,0.74,9.2,5,1,0.17391304347826086,0.07443181818181818
6.6,0.04,2.2,0.069,15.0,0.9956,3.4,0.63,9.4,6,1,0.5333333333333333,0.0787878787878788
6.6,0.04,2.1,0.068,14.0,0.9955,3.39,0.64,9.4,6,1,0.42857142857142855,0.07575757575757576
8.6,0.36,3.0,0.081,119.0,0.997,3.2,0.56,9.4,5,1,0.25210084033613445,0.044186046511627906
7.6,0.15,2.8,0.10550000000000001,73.0,0.9955,3.17,0.63,10.2,6,1,0.4520547945205479,0.06710526315789474
7.7,0.04,3.8,0.084,45.0,0.9978,3.34,0.53,9.5,5,1,0.5555555555555556,0.08051948051948052
9.65,0.57,3.4,0.07,10.0,0.9971,3.04,0.63,9.6,5,1,0.4,0.04352331606217616
7.5,0.12,5.1,0.10550000000000001,110.0,0.9983,3.26,0.77,9.4,5,1,0.45454545454545453,0.084
7.8,0.18,2.3,0.076,54.0,0.9975,3.43,0.59,10.0,5,1,0.3148148148148148,0.07564102564102564
7.3,0.31,2.4,0.074,46.0,0.9962,3.41,0.54,9.4,6,1,0.1956521739130435,0.05342465753424658
8.8,0.4,2.2,0.079,52.0,0.998,3.44,0.64,9.2,5,1,0.36538461538461536,0.045454545454545456
7.7,0.49,1.8,0.10550000000000001,112.0,0.9968,3.21,0.71,9.3,5,1,0.17857142857142858,0.08506493506493507
7.5,0.16,1.9,0.085,35.0,0.9968,3.38,0.62,9.5,7,1,0.34285714285714286,0.06933333333333333
7.0,0.05,2.0,0.081,54.0,0.9966,3.39,0.57,9.8,5,1,0.24074074074074073,0.09357142857142857
7.2,0.05,4.65,0.086,11.0,0.9962,3.41,0.39,10.9,5,1,0.36363636363636365,0.09097222222222222
7.2,0.05,4.65,0.086,11.0,0.9962,3.41,0.39,10.9,5,1,0.36363636363636365,0.09097222222222222
7.5,0.11,1.5,0.079,39.0,0.9968,3.42,0.58,9.6,5,1,0.28205128205128205,0.06933333333333333
6.6,0.07,1.6,0.076,15.0,0.9962,3.44,0.58,10.7,5,1,0.4,0.09924242424242426
9.3,0.57,2.0,0.074,65.0,0.9969,3.28,0.79,10.7,5,1,0.4153846153846154,0.034408602150537634
8.0,0.05,1.9,0.074,19.0,0.9962,3.34,0.855,10.5,6,1,0.42105263157894735,0.081875
7.7,0.08,1.9,0.076,27.0,0.9967,3.32,0.54,9.5,6,1,0.5555555555555556,0.08181818181818182
7.7,0.23,2.1,0.088,96.0,0.9962,3.32,0.48,9.5,5,1,0.17708333333333334,0.08506493506493507
7.7,0.22,1.9,0.084,94.0,0.9961,3.31,0.48,9.5,5,1,0.19148936170212766,0.08506493506493507
8.3,0.26,2.1,0.084,43.0,0.9976,3.31,0.53,9.2,4,1,0.2558139534883721,0.0789156626506024
9.65,0.54,2.5,0.094,83.0,0.9984,3.28,0.82,9.6,5,1,0.3373493975903614,0.03316062176165803
8.8,0.6000000000000001,2.2,0.093,42.0,0.9986,3.54,0.66,10.5,5,1,0.21428571428571427,0.046590909090909086
8.8,0.6000000000000001,2.2,0.093,42.0,0.9986,3.54,0.66,10.5,5,1,0.21428571428571427,0.046590909090909086
6.8,0.03999999999999998,2.4,0.104,30.0,0.9966,3.52,0.55,10.7,6,1,0.4666666666666667,0.09632352941176471
6.7,0.12,2.0,0.086,80.0,0.9958,3.38,0.52,10.1,5,1,0.15,0.09776119402985074
8.3,0.2,1.5,0.08,119.0,0.9972,3.16,0.855,9.1,4,1,0.226890756302521,0.0753012048192771
6.2,0.2,1.6,0.069,15.0,0.9958,3.41,0.56,9.2,5,1,0.2,0.07258064516129033
7.8,0.6000000000000001,1.9,0.10550000000000001,67.0,0.9974,3.13,0.855,9.4,5,1,0.3283582089552239,0.05512820512820513
7.4,0.47,2.0,0.086,73.0,0.997,3.36,0.57,9.1,5,1,0.2876712328767123,0.06756756756756756
7.3,0.26,1.8,0.10550000000000001,51.0,0.9969,3.16,0.855,9.4,5,1,0.3137254901960784,0.08972602739726028
6.3,0.48,1.8,0.069,61.0,0.9959,3.44,0.78,10.3,6,1,0.29508196721311475,0.047619047619047616
6.9,0.15,2.2,0.076,40.0,0.9961,3.41,0.59,10.1,5,1,0.475,0.07971014492753624
8.6,0.28,1.9,0.10550000000000001,136.0,0.9972,2.93,0.855,9.9,6,1,0.14705882352941177,0.056976744186046514
7.7,0.26,1.9,0.062,31.0,0.9966,3.39,0.64,9.6,5,1,0.2903225806451613,0.06363636363636363
9.3,0.44,2.1,0.10550000000000001,125.0,0.9978,3.14,0.855,9.5,5,1,0.272,0.04193548387096774
7.0,0.08,1.8,0.076,24.0,0.9978,3.48,0.53,9.0,5,1,0.3333333333333333,0.08857142857142856
7.9,0.26,1.9,0.079,140.0,0.9964,3.23,0.54,9.5,5,1,0.3,0.06582278481012659
8.6,0.28,1.9,0.10550000000000001,136.0,0.9972,2.93,0.855,9.9,6,1,0.14705882352941177,0.056976744186046514
8.6,0.29,2.0,0.10550000000000001,133.0,0.9972,2.93,0.855,9.8,5,1,0.14285714285714285,0.056976744186046514
7.7,0.26,1.9,0.062,31.0,0.9966,3.39,0.64,9.6,5,1,0.2903225806451613,0.06363636363636363
5.0,0.04,1.4,0.045,85.0,0.9938,3.635,0.48,10.5,4,1,0.4823529411764706,0.131
4.7,0.17,2.3,0.058,106.0,0.9932,3.635,0.6,12.9,6,1,0.16037735849056603,0.1276595744680851
6.8,0.03999999999999998,3.0,0.102,23.0,0.9965,3.45,0.56,10.7,5,1,0.34782608695652173,0.09632352941176471
7.0,0.25,2.0,0.07,22.0,0.9963,3.25,0.63,9.2,5,1,0.13636363636363635,0.07142857142857142
7.6,0.06,2.5,0.079,10.0,0.9967,3.39,0.56,9.8,5,1,0.5,0.0861842105263158
8.1,0.18,1.9,0.08,35.0,0.9972,3.3,0.59,9.0,6,1,0.37142857142857144,0.06728395061728396
8.3,0.3,2.1,0.084,50.0,0.9972,3.4,0.61,10.2,6,1,0.22,0.07349397590361445
7.8,0.3,1.9,0.075,22.0,0.9959,3.31,0.56,10.4,6,1,0.36363636363636365,0.06410256410256411
8.1,0.18,1.9,0.08,35.0,0.9972,3.3,0.59,9.0,6,1,0.37142857142857144,0.06728395061728396
8.1,0.22,2.1,0.077,65.0,0.9967,3.29,0.51,9.2,5,1,0.18461538461538463,0.07098765432098765
7.2,0.24,2.2,0.07,36.0,0.996,3.33,0.48,9.4,5,1,0.1388888888888889,0.06805555555555555
8.1,0.22,2.1,0.077,65.0,0.9967,3.29,0.51,9.2,5,1,0.18461538461538463,0.07098765432098765
7.8,0.6000000000000001,1.7,0.10550000000000001,69.0,0.9973,3.08,0.855,9.3,5,1,0.2608695652173913,0.052564102564102565
6.2,0.31,1.7,0.088,64.0,0.9969,3.46,0.79,9.3,5,1,0.234375,0.10161290322580645
8.0,0.53,2.5,0.091,80.0,0.9976,3.37,0.8,9.6,6,1,0.225,0.04125
8.1,0.52,2.0,0.10550000000000001,153.0,0.9969,3.21,0.69,9.3,5,1,0.24183006535947713,0.0808641975308642
7.8,0.19,1.8,0.104,47.0,0.9964,3.19,0.855,9.5,5,1,0.2553191489361702,0.0717948717948718
8.4,0.09,2.2,0.084,108.0,0.9964,3.15,0.66,9.8,5,1,0.10185185185185185,0.07380952380952381
8.4,0.1,2.2,0.085,111.0,0.9964,3.15,0.66,9.8,5,1,0.12612612612612611,0.07142857142857142
9.65,0.44,2.3,0.08,46.0,0.9988,3.32,0.67,9.7,6,1,0.4782608695652174,0.03212435233160622
7.8,0.19,1.8,0.104,47.0,0.9964,3.19,0.855,9.5,5,1,0.2553191489361702,0.0717948717948718
9.4,0.31,2.2,0.09,62.0,0.9966,3.07,0.63,10.5,6,1,0.20967741935483872,0.0425531914893617
8.3,0.28,1.9,0.077,40.0,0.9978,3.39,0.61,10.0,6,1,0.275,0.06506024096385542
7.8,0.12,2.0,0.082,28.0,0.997,3.37,0.5,9.4,6,1,0.25,0.0717948717948718
8.8,0.04,2.2,0.10550000000000001,56.0,0.9962,3.21,0.6,10.9,6,1,0.25,0.0625
7.0,0.08,1.8,0.097,89.0,0.9959,3.34,0.54,9.2,6,1,0.24719101123595505,0.09357142857142857
7.3,0.09,1.7,0.10550000000000001,89.0,0.9962,3.3,0.57,9.0,5,1,0.11235955056179775,0.08972602739726028
8.8,0.04,2.2,0.10550000000000001,56.0,0.9962,3.21,0.6,10.9,6,1,0.25,0.0625
7.3,0.03999999999999998,2.5,0.075,13.0,0.998,3.49,0.52,9.2,5,1,0.23076923076923078,0.08972602739726028
8.0,0.03999999999999998,2.6,0.08,34.0,0.9976,3.44,0.53,9.5,5,1,0.3235294117647059,0.081875
7.8,0.17,1.6,0.082,102.0,0.996,3.39,0.48,9.5,5,1,0.20588235294117646,0.06410256410256411
9.0,0.04,1.9,0.10550000000000001,90.0,0.9984,3.16,0.7,9.4,5,1,0.3,0.06888888888888889
8.2,0.03999999999999998,1.7,0.081,12.0,0.9964,3.53,0.49,10.9,5,1,0.25,0.07987804878048782
8.1,0.03999999999999998,1.8,0.082,12.0,0.9964,3.54,0.48,10.9,5,1,0.25,0.0808641975308642
8.0,0.16,1.8,0.065,16.0,0.9962,3.42,0.855,10.5,7,1,0.1875,0.07375
6.1,0.15,1.8,0.072,19.0,0.9955,3.42,0.57,9.4,5,1,0.3157894736842105,0.06229508196721312
8.0,0.56,2.0,0.10550000000000001,134.0,0.9968,3.24,0.66,9.4,5,1,0.22388059701492538,0.081875
5.6,0.09,2.3,0.049,99.0,0.9937,3.63,0.63,13.0,5,1,0.1717171717171717,0.08928571428571429
5.6,0.09,2.3,0.049,99.0,0.9937,3.63,0.63,13.0,5,1,0.1717171717171717,0.08928571428571429
6.6,0.03999999999999998,1.5,0.06,26.0,0.9952,3.4,0.58,9.8,6,1,0.6538461538461539,0.07575757575757576
7.9,0.05,2.2,0.084,29.0,0.9959,3.22,0.55,9.9,6,1,0.4482758620689655,0.08291139240506329
8.4,0.11,1.9,0.09,63.0,0.9965,3.19,0.82,9.6,5,1,0.25396825396825395,0.07797619047619048
8.3,0.15,1.8,0.089,52.0,0.9968,3.23,0.77,9.5,5,1,0.19230769230769232,0.0789156626506024
7.2,0.36,2.0,0.081,45.0,0.9972,3.48,0.64,9.2,5,1,0.28888888888888886,0.057638888888888885
7.8,0.19,2.1,0.081,105.0,0.9962,3.33,0.54,9.5,5,1,0.14285714285714285,0.0717948717948718
7.8,0.19,2.0,0.081,108.0,0.9962,3.32,0.54,9.5,5,1,0.1574074074074074,0.0717948717948718
8.4,0.11,1.9,0.09,63.0,0.9965,3.19,0.82,9.6,5,1,0.25396825396825395,0.07797619047619048
8.3,0.15,1.8,0.089,52.0,0.9968,3.23,0.77,9.5,5,1,0.19230769230769232,0.0789156626506024
5.2,0.03999999999999998,1.8,0.05,63.0,0.9916,3.635,0.79,14.0,6,1,0.42857142857142855,0.06538461538461539
6.3,0.08,1.7,0.066,20.0,0.9954,3.34,0.58,9.4,5,1,0.15,0.06190476190476191
5.2,0.03999999999999998,1.8,0.05,63.0,0.9916,3.635,0.79,14.0,6,1,0.42857142857142855,0.06538461538461539
8.1,0.55,1.8,0.10550000000000001,141.0,0.9968,3.17,0.62,9.4,5,1,0.22695035460992907,0.0808641975308642
5.8,0.03999999999999998,1.8,0.087,94.0,0.9944,3.54,0.52,10.0,5,1,0.22340425531914893,0.11293103448275862
7.6,0.26,1.6,0.10550000000000001,88.0,0.9968,3.11,0.8,9.3,5,1,0.11363636363636363,0.06447368421052632
6.9,0.1,2.3,0.074,30.0,0.9959,3.42,0.58,10.2,6,1,0.4,0.07101449275362319
8.2,0.44,2.8,0.089,43.0,0.9975,3.53,0.61,10.5,6,1,0.2558139534883721,0.04878048780487806
7.3,0.47,2.1,0.077,11.0,0.9958,3.33,0.53,10.3,6,1,0.45454545454545453,0.045205479452054796
9.2,0.6000000000000001,3.4,0.10550000000000001,69.0,0.9996,2.795,0.855,9.4,4,1,0.463768115942029,0.05652173913043479
7.5,0.03999999999999998,1.8,0.095,99.0,0.995,3.35,0.54,10.1,5,1,0.25252525252525254,0.08
7.5,0.03999999999999998,1.8,0.095,99.0,0.995,3.35,0.54,10.1,5,1,0.25252525252525254,0.08
7.1,0.42,5.5,0.07,129.0,0.9973,3.42,0.72,10.5,5,1,0.2248062015503876,0.06056338028169014
7.1,0.42,5.5,0.071,128.0,0.9973,3.42,0.71,10.5,5,1,0.21875,0.06056338028169014
7.1,0.42,5.5,0.07,129.0,0.9973,3.42,0.72,10.5,5,1,0.2248062015503876,0.06056338028169014
7.1,0.42,5.5,0.071,128.0,0.9973,3.42,0.71,10.5,5,1,0.21875,0.06056338028169014
7.1,0.03999999999999998,2.2,0.073,22.0,0.9969,3.48,0.5,9.3,5,1,0.5454545454545454,0.09225352112676057
6.8,0.18,1.9,0.079,86.0,0.9968,3.59,0.57,9.3,6,1,0.20930232558139536,0.08823529411764706
7.6,0.03999999999999998,2.0,0.09,20.0,0.9959,3.2,0.56,9.6,5,1,0.35,0.0861842105263158
7.6,0.03999999999999998,1.3,0.072,20.0,0.9965,3.17,0.855,9.2,4,1,0.45,0.0861842105263158
7.8,0.04,1.7,0.076,31.0,0.9964,3.33,0.56,10.0,6,1,0.5483870967741935,0.06794871794871796
7.4,0.26,7.3,0.07,121.0,0.9982,3.37,0.49,9.4,5,1,0.2975206611570248,0.08108108108108107
7.3,0.26,7.2,0.07,121.0,0.9981,3.37,0.49,9.4,5,1,0.2892561983471074,0.08082191780821918
7.8,0.48,1.7,0.1,96.0,0.9961,3.19,0.62,9.5,5,1,0.14583333333333334,0.08076923076923077
6.8,0.1,2.1,0.085,101.0,0.9956,3.34,0.52,10.2,5,1,0.1782178217821782,0.09411764705882353
7.3,0.03999999999999998,1.6,0.072,42.0,0.9956,3.37,0.48,9.0,4,1,0.40476190476190477,0.07534246575342467
6.8,0.07,2.1,0.089,44.0,0.9953,3.47,0.55,10.4,6,1,0.25,0.09264705882352942
7.5,0.24,1.8,0.10550000000000001,63.0,0.9964,3.0,0.855,9.5,5,1,0.23809523809523808,0.08733333333333333
7.9,0.03999999999999998,1.8,0.058,8.0,0.9972,3.36,0.33,9.1,4,1,0.5,0.08291139240506329
8.0,0.17,2.0,0.073,18.0,0.9972,3.29,0.61,9.2,6,1,0.3333333333333333,0.0525
8.0,0.17,2.0,0.073,18.0,0.9972,3.29,0.61,9.2,6,1,0.3333333333333333,0.0525
7.4,0.05,1.9,0.068,42.0,0.9961,3.42,0.57,11.5,6,1,0.5714285714285714,0.08378378378378377
7.3,0.21,2.0,0.08,35.0,0.9961,3.33,0.47,9.5,5,1,0.2,0.052054794520547946
6.9,0.04,1.5,0.085,49.0,0.9958,3.35,0.78,9.5,5,1,0.3877551020408163,0.07246376811594203
7.3,0.21,2.0,0.08,35.0,0.9961,3.33,0.47,9.5,5,1,0.2,0.052054794520547946
7.5,0.42,2.3,0.087,38.0,0.9972,3.58,0.61,10.5,6,1,0.21052631578947367,0.06933333333333333
7.0,0.03999999999999998,2.5,0.068,20.0,0.9969,3.48,0.56,9.6,5,1,0.35,0.09357142857142857
8.8,0.14,2.4,0.067,42.0,0.9969,3.19,0.59,9.5,5,1,0.23809523809523808,0.0693181818181818
8.8,0.14,2.4,0.067,42.0,0.9969,3.19,0.59,9.5,5,1,0.23809523809523808,0.0693181818181818
8.9,0.49,2.0,0.10550000000000001,110.0,0.9972,3.12,0.855,9.3,5,1,0.20909090909090908,0.06853932584269662
7.2,0.03999999999999998,2.5,0.076,42.0,0.9972,3.44,0.52,9.3,5,1,0.38095238095238093,0.09097222222222222
6.8,0.2,1.8,0.077,65.0,0.9971,3.54,0.58,9.3,5,1,0.16923076923076924,0.08970588235294118
6.7,0.21,1.9,0.079,62.0,0.997,3.52,0.58,9.3,6,1,0.12903225806451613,0.09253731343283582
8.9,0.57,2.0,0.10550000000000001,85.0,0.9971,3.26,0.53,9.7,5,1,0.3058823529411765,0.0348314606741573
7.4,0.48,2.0,0.082,67.0,0.9972,3.34,0.55,9.2,5,1,0.208955223880597,0.0527027027027027
7.7,0.1,2.6,0.084,26.0,0.9976,3.39,0.49,9.7,5,1,0.34615384615384615,0.08506493506493507
7.9,0.33,2.0,0.084,143.0,0.9968,3.2,0.55,9.5,5,1,0.1048951048951049,0.06329113924050632
7.9,0.32,1.9,0.082,144.0,0.9968,3.2,0.55,9.5,5,1,0.11805555555555555,0.0620253164556962
8.2,0.35,2.9,0.077,127.0,0.9976,3.23,0.62,9.4,5,1,0.16535433070866143,0.06097560975609757
6.4,0.25,1.9,0.074,49.0,0.9974,3.57,0.62,9.8,6,1,0.42857142857142855,0.057812499999999996
6.8,0.12,3.8,0.099,126.0,0.9969,3.28,0.61,9.5,5,1,0.12698412698412698,0.09264705882352942
7.6,0.21,2.2,0.071,28.0,0.9964,3.28,0.55,9.7,5,1,0.25,0.07236842105263158
7.6,0.21,2.2,0.071,28.0,0.9964,3.28,0.55,9.7,5,1,0.25,0.07236842105263158
7.8,0.33,2.0,0.074,120.0,0.9968,3.25,0.54,9.4,5,1,0.2,0.07564102564102564
7.3,0.3,2.4,0.074,55.0,0.9968,3.46,0.59,10.2,5,1,0.2727272727272727,0.07945205479452054
9.65,0.6,2.0,0.067,27.0,0.9981,3.11,0.855,10.1,6,1,0.4444444444444444,0.031088082901554404
5.4,0.08,1.2,0.046,93.0,0.9924,3.57,0.85,13.0,7,1,0.13978494623655913,0.12129629629629629
6.9,0.06,2.1,0.061,31.0,0.9948,3.51,0.43,11.4,4,1,0.3870967741935484,0.09492753623188406
9.6,0.47,1.4,0.056,24.0,0.99695,3.22,0.82,10.3,7,1,0.375,0.03333333333333333
8.8,0.48,2.1,0.097,145.0,0.9975,3.04,0.855,9.3,5,1,0.2689655172413793,0.04204545454545454
6.8,0.11,1.5,0.075,49.0,0.99545,3.36,0.79,9.5,5,1,0.32653061224489793,0.07352941176470588
7.0,0.35,1.6,0.088,39.0,0.9961,3.34,0.55,9.2,5,1,0.41025641025641024,0.06
7.0,0.36,1.6,0.089,37.0,0.99615,3.34,0.56,9.2,6,1,0.3783783783783784,0.06142857142857143
9.65,0.6000000000000001,2.6,0.095,28.0,0.9994,3.2,0.77,10.8,7,1,0.32142857142857145,0.031088082901554404
9.65,0.6000000000000001,2.6,0.095,28.0,0.9994,3.2,0.77,10.8,7,1,0.32142857142857145,0.031088082901554404
7.8,0.31,1.8,0.069,120.0,0.99625,3.29,0.53,9.3,5,1,0.21666666666666667,0.07307692307692307
7.8,0.28,2.7,0.1,95.0,0.9966,3.22,0.67,9.4,5,1,0.18947368421052632,0.05641025641025641
9.65,0.58,2.1,0.054,19.0,0.998,3.31,0.855,10.5,7,1,0.3684210526315789,0.031088082901554404
9.65,0.6,2.0,0.039,19.0,0.99585,3.3,0.855,12.4,6,1,0.2631578947368421,0.054922279792746116
8.0,0.24,2.8,0.083,62.0,0.99685,3.35,0.56,10.0,6,1,0.16129032258064516,0.081875
9.65,0.6000000000000001,2.1,0.059,15.0,0.998,3.21,0.67,10.2,6,1,0.3333333333333333,0.04559585492227979
8.2,0.26,2.2,0.06,65.0,0.9959,3.3,0.43,10.1,5,1,0.4307692307692308,0.06951219512195123
7.8,0.08,2.4,0.092,41.0,0.9974,3.24,0.71,9.8,6,1,0.24390243902439024,0.08397435897435898
7.0,0.49,5.6,0.06,121.0,0.9974,3.34,0.76,10.5,5,1,0.21487603305785125,0.06999999999999999
8.7,0.16,2.0,0.101,49.0,0.9962,3.14,0.57,11.0,5,1,0.2653061224489796,0.07183908045977012
8.1,0.22,2.2,0.072,41.0,0.9967,3.36,0.55,9.1,5,1,0.2682926829268293,0.0808641975308642
7.5,0.19,1.9,0.076,44.0,0.9957,3.39,0.54,9.7,5,1,0.22727272727272727,0.06533333333333333
7.8,0.33,2.4,0.08,144.0,0.99655,3.3,0.6,9.5,5,1,0.16666666666666666,0.06794871794871796
7.8,0.37,2.0,0.082,58.0,0.9964,3.34,0.59,9.4,6,1,0.41379310344827586,0.043589743589743594
7.4,0.26,2.0,0.101,72.0,0.9957,3.15,0.57,9.4,5,1,0.2222222222222222,0.07162162162162163
6.8,0.04,1.5,0.057,10.0,0.99525,3.42,0.6,9.5,5,1,0.5,0.08970588235294118
8.6,0.25,2.0,0.083,28.0,0.99815,3.28,0.6,10.0,6,1,0.2857142857142857,0.07500000000000001
8.4,0.36,2.0,0.089,55.0,0.99745,3.31,0.57,10.4,4,1,0.2727272727272727,0.07559523809523809
7.7,0.25,2.6,0.073,63.0,0.99615,3.37,0.58,10.5,6,1,0.4603174603174603,0.05584415584415584
8.9,0.5,2.0,0.10550000000000001,81.0,0.9964,3.04,0.855,9.5,6,1,0.3333333333333333,0.06629213483146067
9.0,0.14,2.6,0.089,23.0,0.9984,3.39,0.63,9.8,5,1,0.391304347826087,0.07277777777777777
7.7,0.25,2.6,0.073,63.0,0.99615,3.37,0.58,10.5,6,1,0.4603174603174603,0.05584415584415584
6.9,0.25,2.6,0.081,37.0,0.99685,3.46,0.5,11.0,5,1,0.2702702702702703,0.07536231884057971
5.2,0.04,1.6,0.054,106.0,0.9927,3.54,0.62,12.2,7,1,0.1792452830188679,0.0923076923076923
8.0,0.06,1.8,0.078,49.0,0.99625,3.37,0.52,9.9,6,1,0.24489795918367346,0.0475
8.5,0.2,2.8,0.09,58.0,0.998,3.34,0.7,9.6,6,1,0.3103448275862069,0.04352941176470588
